CO_CURSO|NO_CURSO
34642|JORNALISMO
34644|LETRAS - LÍNGUA PORTUGUESA
34983|CIÊNCIAS SOCIAIS
34992|DESENHO INDUSTRIAL - PROGRAMAÇÃO VISUAL
44362|FILOSOFIA
44364|FÍSICA COM HABILITAÇÃO EM FÍSICA COMPUTACIONAL
44365|FÍSICA
44366|GEOGRAFIA
44369|HISTÓRIA
44372|MATEMÁTICA
44376|PSICOLOGIA
44377|LETRAS - PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA
44382|CIÊNCIAS BIOLÓGICAS
44418|CIÊNCIAS SOCIAIS
52159|ARTES PLÁSTICAS
70638|COMUNICAÇÃO SOCIAL - AUDIOVISUAL
85124|ENGENHARIA MECATRÔNICA
92262|GESTÃO DO AGRONEGÓCIO
92267|CIÊNCIAS NATURAIS
101550|CIÊNCIAS BIOLÓGICAS
112158|ARTES VISUAIS
112160|EDUCAÇÃO FÍSICA
112162|LETRAS
112164|MÚSICA
112166|TEATRO
112170|PEDAGOGIA
112176|EDUCAÇÃO DO CAMPO
112790|CIÊNCIAS NATURAIS
112792|GESTÃO AMBIENTAL
112794|FARMÁCIA
112796|FISIOTERAPIA
112804|GESTÃO DE SAÚDE
112816|TERAPIA OCUPACIONAL
112818|ENFERMAGEM
112872|ENGENHARIA DE ENERGIA
112887|ENGENHARIA ELETRÔNICA
112889|ENGENHARIA AUTOMOTIVA
112891|ENGENHARIA DE SOFTWARE
122198|ARTES CÊNICAS
122200|ARTES CÊNICAS
122202|CIÊNCIAS AMBIENTAIS
122204|ENGENHARIA DE COMPUTAÇÃO
122206|ENGENHARIA DE PRODUÇÃO
122208|GEOFISICA
122210|GEOGRAFIA
122212|GESTÃO DE POLÍTICAS PÚBLICAS
122214|HISTÓRIA
122218|MUSEOLOGIA
122220|MÚSICA
300118|QUÍMICA
300129|GEOGRAFIA
300151|ARTES PLÁSTICAS
1138293|ARQUITETURA E URBANISMO
1138344|SERVIÇO SOCIAL
1138345|TURISMO
1138346|FILOSOFIA
1140035|ENGENHARIA AMBIENTAL
1140048|GESTÃO DE AGRONEGÓCIOS
1140050|LETRAS LÍNGUA ESTRANGEIRA APLICADA
1140062|COMUNICAÇÃO ORGANIZACIONAL
1140082|QUÍMICA TECNOLÓGICA
1140088|FARMÁCIA
1140091|GESTÃO EM SAÚDE COLETIVA
1173351|BIOTECNOLOGIA
1192413|EDUCAÇÃO FÍSICA
1192414|ENGENHARIA QUÍMICA
1192415|TEORIA, CRÍTICA E HISTÓRIA DA ARTE
1192419|FONOAUDIOLOGIA
1269978|ENGENHARIA AEROESPACIAL
1314245|LETRAS - TRADUÇÃO ESPANHOL
1349598|LETRAS - LÍNGUA DE SINAIS BRASILEIRA/PORTUGUÊS COMO SEGUNDA LÍNGUA
1434981|FÍSICA
5000587|ABI - ENGENHARIA
5001034|ABI - ARTES PLÁSTICAS
5001035|ABI - ARTES CÊNICAS
5001037|ABI - CIÊNCIAS SOCIAIS
5001038|ABI - COMUNICAÇÃO SOCIAL
5001039|ABI - DESIGN
5001040|ABI - FILOSOFIA
5001042|ABI - GEOGRAFIA
5001043|ABI - HISTÓRIA
5001044|ABI - MÚSICA
5001045|ABI - PSICOLOGIA
