CO_CURSO|NO_CURSO
121077|PROCESSOS GERENCIAIS
310610|CIÊNCIAS BIOLÓGICAS
1149296|DESIGN DE INTERIORES
1179336|RELAÇÕES INTERNACIONAIS
1179339|ENGENHARIA DE PRODUÇÃO
1260229|GESTÃO FINANCEIRA
1331172|ADMINISTRAÇÃO
1331175|LOGÍSTICA
1331229|PEDAGOGIA
1355442|ESTÉTICA E COSMÉTICA
1365499|PSICOLOGIA
1365504|JOGOS DIGITAIS
10678|ADMINISTRAÇÃO
10679|CIÊNCIAS CONTÁBEIS
10682|PSICOLOGIA
31802|CIÊNCIAS BIOLÓGICAS
40736|ENFERMAGEM
52797|PSICOLOGIA
58453|FISIOTERAPIA
58455|EDUCAÇÃO FÍSICA
86689|ENGENHARIA AMBIENTAL E SANITÁRIA
86697|GESTÃO DE RECURSOS HUMANOS
86701|FARMÁCIA
86703|NUTRIÇÃO
358455|EDUCAÇÃO FÍSICA
1327243|BIOLOGIA
1327246|ENGENHARIA DE PRODUÇÃO
1327333|PROCESSOS GERENCIAIS
1331493|ADMINISTRAÇÃO
1341058|PEDAGOGIA
1357695|BIOMEDICINA
1372025|CIÊNCIAS CONTÁBEIS
1372028|ADMINISTRAÇÃO
1372036|GESTÃO DE RECURSOS HUMANOS
1372045|PROCESSOS GERENCIAIS
1382499|ENGENHARIA CIVIL
1382502|HISTÓRIA
1383271|LETRAS - PORTUGUÊS E LITERATURA
1385073|DIREITO
1405885|ESTÉTICA E COSMÉTICA
1454389|ARTES CÊNICAS
1466604|GESTÃO DE RECURSOS HUMANOS
1466721|PROCESSOS GERENCIAIS
10727|PSICOLOGIA
10733|CIÊNCIAS CONTÁBEIS
10735|DIREITO
10737|ARQUITETURA E URBANISMO
10738|PEDAGOGIA
10743|ENGENHARIA MECÂNICA
10745|ADMINISTRAÇÃO
10752|ODONTOLOGIA
54726|FARMÁCIA
62892|FISIOTERAPIA
70672|ÓPTICA E OPTOMETRIA
70678|ENFERMAGEM
84395|RADIOLOGIA
105348|MARKETING
114322|GESTÃO DE RECURSOS HUMANOS
114771|PROCESSOS GERENCIAIS
114773|GESTÃO FINANCEIRA
117575|GESTÃO DE RECURSOS HUMANOS
117588|PEDAGOGIA
117593|ADMINISTRAÇÃO
1146708|LOGÍSTICA
1153681|ENGENHARIA CIVIL
1153827|SERVIÇO SOCIAL
1155195|ENGENHARIA DE PRODUÇÃO
1156617|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1156620|LETRAS - PORTUGUÊS E INGLÊS
1166179|PROCESSOS GERENCIAIS
1166524|SERVIÇO SOCIAL
1166526|GESTÃO AMBIENTAL
1166528|CIÊNCIAS CONTÁBEIS
1166529|GESTÃO PÚBLICA
1166545|LOGÍSTICA
1166551|SEGURANÇA PÚBLICA
1166552|MARKETING
1185906|GESTÃO FINANCEIRA
1188130|ENGENHARIA ELÉTRICA
1189132|ESTÉTICA
1276341|ENGENHARIA DE PRODUÇÃO
1341063|ESTÉTICA
1343895|GESTÃO HOSPITALAR
1348174|ENGENHARIA CIVIL
1348176|ENGENHARIA ELÉTRICA
1348182|ÓPTICA E OPTOMETRIA
1419824|CIÊNCIAS BIOLÓGICAS
1419825|GEOGRAFIA
1419826|HISTÓRIA
1419827|MATEMÁTICA
1419828|QUÍMICA
10792|DIREITO
10793|PEDAGOGIA
10794|PSICOLOGIA
10795|LETRAS - LÍNGUA PORTUGUESA
10796|FONOAUDIOLOGIA
10797|HISTÓRIA
10798|SERVIÇO SOCIAL
10799|FÍSICA
10800|ARQUITETURA E URBANISMO
10802|CIÊNCIAS BIOLÓGICAS - MODALIDADE MÉDICA
10803|ENGENHARIA CIVIL
10804|GEOGRAFIA
10805|CIÊNCIAS ECONÔMICAS
10806|CIÊNCIAS CONTÁBEIS
10807|ADMINISTRAÇÃO
10808|ENFERMAGEM
10809|FILOSOFIA
10811|MATEMÁTICA
10813|ZOOTECNIA
10814|CIÊNCIA DA COMPUTAÇÃO
19773|ENGENHARIA DE ALIMENTOS
20590|ENGENHARIA AMBIENTAL
20591|ENGENHARIA DE PRODUÇÃO
20592|ENGENHARIA ELÉTRICA
20595|FISIOTERAPIA
20596|DESIGN
20598|ENGENHARIA DE COMPUTAÇÃO
20599|RELAÇÕES INTERNACIONAIS
21534|CIÊNCIAS AERONÁUTICAS
38943|TEOLOGIA
38958|EDUCAÇÃO FÍSICA
74642|QUÍMICA
84408|MEDICINA
93995|ARQUEOLOGIA
97685|NUTRIÇÃO
103808|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
103810|JORNALISMO
107734|CIÊNCIAS BIOLÓGICAS
107736|CIÊNCIAS BIOLÓGICAS
113417|GASTRONOMIA
116092|ENGENHARIA DE CONTROLE E AUTOMAÇÃO
116110|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
338958|EDUCAÇÃO FÍSICA
1179787|FARMÁCIA
1421449|AGRONOMIA
1421451|MEDICINA VETERINÁRIA
1484168|ADMINISTRAÇÃO
1484182|CIÊNCIAS CONTÁBEIS
1484183|LOGÍSTICA
1484184|COMÉRCIO EXTERIOR
1484185|MARKETING
1484186|GESTÃO FINANCEIRA
1484187|GESTÃO COMERCIAL
1484188|GESTÃO HOSPITALAR
1484524|GESTÃO DE RECURSOS HUMANOS
1484619|BIG DATA E INTELIGÊNCIA ARTIFICIAL
10859|CIÊNCIAS SOCIAIS
10861|PEDAGOGIA
10862|TEOLOGIA
10863|FILOSOFIA
10867|ADMINISTRAÇÃO
10868|DIREITO
10870|CIÊNCIAS ECONÔMICAS
10871|GEOGRAFIA
10872|HISTÓRIA
10873|SERVIÇO SOCIAL
10874|QUÍMICA
22388|LETRAS - PORTUGUÊS
22389|COMUNICAÇÃO SOCIAL - JORNALISMO
23702|ENGENHARIA MECÂNICA
24260|ENGENHARIA DE COMPUTAÇÃO
25935|TRADUTOR EM INGLÊS
28299|DESENHO INDUSTRIAL
28302|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
28910|PSICOLOGIA
29445|ENGENHARIA CIVIL
29446|ENGENHARIA ELÉTRICA
31150|LETRAS - INGLÊS
32655|ENGENHARIA DE CONTROLE E AUTOMAÇÃO
32975|ENGENHARIA QUÍMICA
35407|DESENHO INDUSTRIAL
44431|ENGENHARIA DE PRODUÇÃO
45850|SISTEMAS DE INFORMAÇÃO
59962|ARQUITETURA E URBANISMO
70523|ENGENHARIA AMBIENTAL E SANITÁRIA
70608|RELAÇÕES INTERNACIONAIS
87200|ENGENHARIA DE PETRÓLEO
87202|COMUNICAÇÃO SOCIAL - CINEMA
87794|LETRAS - PORTUGUÊS
101330|DESENHO INDUSTRIAL
101331|DESENHO INDUSTRIAL
113962|ARTES CÊNICAS
114286|CIÊNCIA DA COMPUTAÇÃO
310859|CIÊNCIAS SOCIAIS
310863|FILOSOFIA
310871|GEOGRAFIA
310872|HISTÓRIA
310875|FÍSICA
310877|MATEMÁTICA
331150|LETRAS - INGLÊS
1151681|CIÊNCIAS BIOLÓGICAS
1155581|ENGENHARIA DE MATERIAIS E NANOTECNOLOGIA
1359179|CIÊNCIAS BIOLÓGICAS
10947|MÚSICA
94595|MÚSICA
1516641|MÚSICA POPULAR
10965|ADMINISTRAÇÃO
10966|CIÊNCIAS CONTÁBEIS
10967|ENFERMAGEM
10968|NUTRIÇÃO
10975|AGRONOMIA
10976|DIREITO
10981|EDUCAÇÃO FÍSICA
10982|ENGENHARIA ELÉTRICA
10988|EDUCAÇÃO FÍSICA
10989|ADMINISTRAÇÃO
10990|ENGENHARIA MECÂNICA
10991|DIREITO
18508|ENGENHARIA CIVIL
18509|FARMÁCIA
19021|FÍSICA
19026|MATEMÁTICA
20974|FISIOTERAPIA
29585|JORNALISMO
31822|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
32224|PSICOLOGIA
40948|CIÊNCIAS ECONÔMICAS
42088|PEDAGOGIA
51083|ADMINISTRAÇÃO
51442|ADMINISTRAÇÃO
58054|DIREITO
64124|DESIGN
64194|CIÊNCIAS BIOLÓGICAS
65220|PSICOLOGIA
74927|LETRAS - PORTUGUÊS E INGLÊS
90385|HISTÓRIA
100156|EDUCAÇÃO FÍSICA
100298|PEDAGOGIA
110974|CIÊNCIA DA COMPUTAÇÃO
110976|CIÊNCIA DA COMPUTAÇÃO
111008|MEDICINA VETERINÁRIA
111060|PROCESSOS GERENCIAIS
111064|GESTÃO COMERCIAL
119445|ADMINISTRAÇÃO
310981|EDUCAÇÃO FÍSICA
310988|EDUCAÇÃO FÍSICA
364194|CIÊNCIAS BIOLÓGICAS
1112136|ENGENHARIA CIVIL
1112301|ESTÉTICA E COSMÉTICA
1149674|ENGENHARIA ELÉTRICA
1259828|ENGENHARIA QUÍMICA
1279813|GESTÃO DE COOPERATIVAS
1304518|ARQUITETURA E URBANISMO
1364275|BIOMEDICINA
1453377|HISTÓRIA
1453669|ENGENHARIA DE SOFTWARE
1454621|ENGENHARIA DE PRODUÇÃO
1454622|ENGENHARIA MECÂNICA
1454623|CIÊNCIAS CONTÁBEIS
1454624|CIÊNCIAS CONTÁBEIS
1457503|MEDICINA
1474624|CIÊNCIAS CONTÁBEIS
1474629|GESTÃO FINANCEIRA
1474630|LOGÍSTICA
1482728|GESTÃO DE RECURSOS HUMANOS
1483509|GESTÃO DE MICRO E PEQUENAS EMPRESAS
11106|ADMINISTRAÇÃO
11108|DIREITO
11109|EDUCAÇÃO FÍSICA
1106642|EDUCAÇÃO FÍSICA
1138986|CIÊNCIAS BIOLÓGICAS
11114|MEDICINA
11115|FISIOTERAPIA
18725|ODONTOLOGIA
19570|PSICOLOGIA
59818|BIOMEDICINA
100893|ENFERMAGEM
1303904|EDUCAÇÃO FÍSICA
1333348|INFORMÁTICA EM SAÚDE
11121|HISTÓRIA
11124|CIÊNCIAS CONTÁBEIS
39492|ADMINISTRAÇÃO
39494|CIÊNCIA DA COMPUTAÇÃO
70920|PEDAGOGIA
100648|EDUCAÇÃO FÍSICA
118648|ENFERMAGEM
1178765|DIREITO
1367017|GESTÃO DE RECURSOS HUMANOS
31279|ADMINISTRAÇÃO
50063|DIREITO
68590|FISIOTERAPIA
85730|ENFERMAGEM
95091|ENGENHARIA DE PRODUÇÃO
95729|ENGENHARIA AMBIENTAL
1258327|ENGENHARIA CIVIL
11218|ADMINISTRAÇÃO
11219|CIÊNCIAS CONTÁBEIS
11220|CIÊNCIAS ECONÔMICAS
11221|DIREITO
11222|SERVIÇO SOCIAL
11224|CIÊNCIAS SOCIAIS
11229|FILOSOFIA
11230|PSICOLOGIA
11231|PEDAGOGIA
11232|FONOAUDIOLOGIA
11233|MEDICINA
11234|ENFERMAGEM
11237|CIÊNCIAS ATUARIAIS
11238|CIÊNCIA DA COMPUTAÇÃO
11241|ENGENHARIA ELÉTRICA
11242|RELAÇÕES INTERNACIONAIS
11243|HISTÓRIA
21354|COMUNICAÇÃO DAS ARTES DO CORPO
21694|COMUNICAÇÃO E MULTIMEIOS
21695|TURISMO
22396|JORNALISMO
24393|LETRAS - LÍNGUA PORTUGUESA
35418|LETRAS - TRADUÇÃO INGLÊS E PORTUGUÊS
50500|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
89498|ADMINISTRAÇÃO
102852|CIÊNCIAS ECONÔMICAS
102875|COMÉRCIO EXTERIOR
102883|JOGOS DIGITAIS
111252|ENGENHARIA DE PRODUÇÃO
111254|SISTEMA DE INFORMAÇÃO
113540|MATEMÁTICA
115122|ARTE: HISTÓRIA, CRÍTICA E CURADORIA
119122|TEOLOGIA
119448|TEOLOGIA
119846|ENGENHARIA BIOMÉDICA
311229|FILOSOFIA
311243|HISTÓRIA
318537|GEOGRAFIA
1152126|PEDAGOGIA
1152435|ADMINISTRAÇÃO
1183211|ENGENHARIA CIVIL
1205591|FISIOTERAPIA
1419790|DESIGN
11294|PSICOLOGIA
11299|ENFERMAGEM
11300|EDUCAÇÃO FÍSICA
11301|FILOSOFIA
11302|FÍSICA
11303|GEOGRAFIA
11304|OCEANOGRAFIA
11305|MATEMÁTICA
11306|ESTATÍSTICA
11308|QUÍMICA
11309|DESENHO INDUSTRIAL
11310|CIÊNCIAS BIOLÓGICAS
11311|NUTRIÇÃO
11313|SERVIÇO SOCIAL
11314|PEDAGOGIA
11315|CIÊNCIAS CONTÁBEIS
11316|MEDICINA
11317|ODONTOLOGIA
11318|DIREITO
11319|CIÊNCIA ECONÔMICA
11320|ADMINISTRAÇÃO
11321|HISTÓRIA
11322|CIÊNCIAS SOCIAIS
11323|GEOLOGIA
11324|LETRAS - PORTUGUÊS E INGLÊS
11325|CIÊNCIAS BIOLÓGICAS
11326|LETRAS - LÍNGUA PORTUGUESA
11327|GEOGRAFIA
11328|MATEMÁTICA
11329|HISTÓRIA
11330|ENGENHARIA DE PRODUÇÃO
19565|PEDAGOGIA
21532|ENGENHARIA QUÍMICA
22400|LETRAS - PORTUGUÊS E ESPANHOL
22401|LETRAS - PORTUGUÊS E GREGO
22404|JORNALISMO
22673|ENGENHARIA MECÂNICA
23724|RELAÇÕES PÚBLICAS
23725|PSICOLOGIA
25785|LETRAS - LÍNGUA PORTUGUESA
27290|ENGENHARIA ELÉTRICA
27635|LETRAS - PORTUGUÊS E FRANCÊS
27637|LETRAS - ITALIANO
28323|LETRAS - INGLÊS
28677|LETRAS - INGLÊS
29095|LETRAS - ITALIANO
29096|LETRAS - PORTUGUÊS E ALEMÃO
30466|LETRAS - PORTUGUÊS E GREGO
32606|LETRAS - PORTUGUÊS E LATIM
34321|LETRAS - PORTUGUÊS E ESPANHOL
34424|LETRAS - LÍNGUA PORTUGUESA
34779|LETRAS - PORTUGUÊS E LATIM
36185|LETRAS - PORTUGUÊS E FRANCÊS
36206|LETRAS - PORTUGUÊS E ALEMÃO
45963|ENGENHARIA CIVIL
45984|ENGENHARIA CARTOGRÁFICA
61690|ENGENHARIA DE PRODUÇÃO
62190|ENGENHARIA MECÂNICA
70522|MATEMÁTICA
71247|PEDAGOGIA
83062|CIÊNCIAS ATUARIAIS
83064|LETRAS - JAPONÊS
83158|GEOGRAFIA
83160|PEDAGOGIA
100584|CIÊNCIAS BIOLÓGICAS
111888|ARTES VISUAIS
111889|ARTES VISUAIS
111890|ARTES VISUAIS
115994|ENGENHARIA DE COMPUTAÇÃO
311300|EDUCAÇÃO FÍSICA
311301|FILOSOFIA
311302|FÍSICA
311303|GEOGRAFIA
311305|MATEMÁTICA
311310|CIÊNCIAS BIOLÓGICAS
311321|HISTÓRIA
311322|CIÊNCIAS SOCIAIS
1177364|TURISMO
1330027|RELAÇÕES INTERNACIONAIS
1349295|ARQUEOLOGIA
1349296|ENGENHARIA AMBIENTAL E SANITÁRIA
1363725|ENGENHARIA MECÂNICA
1363726|ENGENHARIA QUÍMICA
1404067|LETRAS - JAPONÊS
1404226|ARQUITETURA E URBANISMO
1404227|GEOGRAFIA
1438181|DESIGN
5000356|CIÊNCIA DA COMPUTAÇÃO
11425|BIBLIOTECONOMIA
11426|CIÊNCIAS BIOLÓGICAS
11427|CIÊNCIAS ECONÔMICAS
11429|GEOGRAFIA
11430|HISTÓRIA
11431|FILOSOFIA
11432|PEDAGOGIA
11433|FÍSICA
11434|SERVIÇO SOCIAL
11435|EDUCAÇÃO FÍSICA
11436|ENFERMAGEM
11437|FARMÁCIA
11438|ODONTOLOGIA
11439|MATEMÁTICA
11441|CIÊNCIAS CONTÁBEIS
11442|QUÍMICA INDUSTRIAL
11443|QUÍMICA
11444|ENGENHARIA ELÉTRICA
11446|MEDICINA
11447|DESIGN
11448|DIREITO
11449|PEDAGOGIA
11450|CIÊNCIAS SOCIAIS
11451|DIREITO
11452|CIÊNCIA DA COMPUTAÇÃO
11453|TURISMO
11454|HOTELARIA
11455|CIÊNCIAS IMOBILIÁRIAS
11456|PEDAGOGIA
11457|CIÊNCIAS CONTÁBEIS
11458|PSICOLOGIA
11462|ARTES VISUAIS
22407|COMUNICAÇÃO SOCIAL - JORNALISMO
23734|COMUNICAÇÃO SOCIAL - RELAÇÕES PÚBLICAS
35429|COMUNICAÇÃO SOCIAL  - RADIALISMO
45576|OCEANOGRAFIA
70706|NUTRIÇÃO
94283|LETRAS - INGLÊS
94286|LETRAS - ESPANHOL
94288|LETRAS - FRANCÊS
96392|TEATRO
103301|AGRONOMIA
103303|CIÊNCIAS BIOLÓGICAS
103305|ZOOTECNIA
103307|COMUNICAÇÃO SOCIAL - JORNALISMO
103309|ENFERMAGEM
103311|ENGENHARIA DE ALIMENTOS
105436|ENGENHARIA QUÍMICA
105438|MÚSICA
105440|ADMINISTRAÇÃO
113552|INFORMÁTICA
113779|ADMINISTRAÇÃO
113781|QUÍMICA
122071|TEATRO
123511|EDUCAÇÃO DO CAMPO
123513|EDUCAÇÃO DO CAMPO - CIÊNCIAS AGRÁRIAS
311426|CIÊNCIAS BIOLÓGICAS
311429|GEOGRAFIA
311430|HISTÓRIA
311433|FÍSICA
311439|MATEMÁTICA
311443|QUÍMICA
311450|CIÊNCIAS SOCIAIS
1117691|CIÊNCIAS HUMANAS - HISTÓRIA
1117740|CIÊNCIAS HUMANAS - SOCIOLOGIA
1117741|CIÊNCIAS NATURAIS - BIOLOGIA
1117760|CIÊNCIAS HUMANAS - SOCIOLOGIA
1117765|CIÊNCIAS HUMANAS - HISTÓRIA
1117769|CIÊNCIAS NATURAIS - FÍSICA
1117770|CIÊNCIAS NATURAIS - BIOLOGIA
1117778|CIÊNCIAS NATURAIS - BIOLOGIA
1117812|CIÊNCIAS HUMANAS - GEOGRAFIA
1117816|CIÊNCIAS HUMANAS - SOCIOLOGIA
1117818|CIÊNCIAS NATURAIS - QUÍMICA
1117820|CIÊNCIAS NATURAIS - QUÍMICA
1117823|LINGUAGENS E CÓDIGOS - LÍNGUA PORTUGUESA
1153474|ADMINISTRAÇÃO PÚBLICA
1153478|CIÊNCIAS BIOLÓGICAS
1153620|PEDAGOGIA
1153642|ARTES VISUAIS
1153820|HISTÓRIA
1153821|GEOGRAFIA
1155352|PEDAGOGIA
1155555|PEDAGOGIA
1163263|CIÊNCIAS EXATAS
1192641|INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA
1202856|MATEMÁTICA
1257562|MEDICINA
1257777|MEDICINA
1258855|INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA
1268388|EDUCAÇÃO FÍSICA - ÊNFASE EM EDUCAÇÃO FÍSICA E SAÚDE
1270683|TURISMO
1270685|ENGENHARIA DE PESCA
1270686|ENGENHARIA AGRÍCOLA
1270689|ENFERMAGEM
1313223|LETRAS - PORTUGUÊS
1313224|EDUCAÇÃO FÍSICA
1321235|LETRAS - LIBRAS
1322112|INTERDISCIPLINAR EM ESTUDOS AFRICANOS E AFRO-BRASILEIROS
1349677|CIÊNCIAS NATURAIS - BIOLOGIA
1363756|ENGENHARIA CIVIL
1365039|ENGENHARIA MECÂNICA
1365040|ENGENHARIA DE COMPUTAÇÃO
1376179|ENGENHARIA CIVIL
1378842|ENGENHARIA AMBIENTAL E SANITÁRIA
1404870|FÍSICA
1404959|COMPUTAÇÃO E INFORMÁTICA
1404965|LETRAS - PORTUGUÊS
1405574|ENGENHARIA ELÉTRICA
1427466|ENGENHARIA AMBIENTAL
5001083|LINGUAGENS E CÓDIGOS - MÚSICA
5001084|CIÊNCIAS HUMANAS - FILOSOFIA
5001190|CIÊNCIAS EXATAS
5001193|LETRAS - PORTUGUÊS
5001194|LETRAS - PORTUGUÊS
5001197|LETRAS - INGLÊS
11528|ENGENHARIA AGRONÔMICA
11529|GEOGRAFIA
11533|ENFERMAGEM
11535|PEDAGOGIA
11537|DIREITO
11538|CIÊNCIAS ECONÔMICAS
11539|HISTÓRIA
11540|MATEMÁTICA
11542|EDUCAÇÃO FÍSICA
11543|CIÊNCIAS BIOLÓGICAS
11544|CIÊNCIAS SOCIAIS
11548|PEDAGOGIA
11553|ENGENHARIA CIVIL
11554|SISTEMAS DE INFORMAÇÃO
21846|ENGENHARIA FLORESTAL
50684|JORNALISMO
53338|MEDICINA
81516|FÍSICA
81520|QUÍMICA
99839|ENGENHARIA FLORESTAL
99841|CIÊNCIAS BIOLÓGICAS
99843|ENFERMAGEM
100024|MÚSICA
100026|HISTÓRIA
100028|ARTES CÊNICAS
106286|CIÊNCIAS ECONÔMICAS
113703|CIÊNCIAS BIOLÓGICAS
113760|LETRAS - ESPANHOL
113809|ENGENHARIA AGRONÔMICA
113865|FORMAÇÃO DOCENTE PARA INDÍGENAS
115684|SAÚDE COLETIVA
115686|FILOSOFIA
116190|LETRAS - ESPANHOL
116196|EDUCAÇÃO FÍSICA
116204|GEOGRAFIA
118697|MEDICINA VETERINÁRIA
119046|LETRAS - LÍNGUA PORTUGUESA
119048|LETRAS - INGLÊS
119050|LETRAS - FRANCÊS
119072|LETRAS - LÍNGUA PORTUGUESA
119074|LETRAS - INGLÊS
119894|NUTRIÇÃO
123320|ENGENHARIA ELÉTRICA
1120660|DIREITO
1214485|MATEMÁTICA
1300132|LETRAS - LIBRAS
1419835|CIÊNCIAS SOCIAIS
1457288|TEATRO
1457289|TEATRO
1480227|CIÊNCIAS SOCIAIS
5001343|PSICOLOGIA
5001405|ABI - CIÊNCIAS SOCIAIS
5001454|ABI - TEATRO
11589|ESTATÍSTICA
11590|FÍSICA
11591|MATEMÁTICA
11592|QUÍMICA
11593|CIÊNCIAS BIOLÓGICAS
11594|EDUCAÇÃO FÍSICA
11595|ODONTOLOGIA
11596|PSICOLOGIA
11598|GEOGRAFIA
11599|JORNALISMO
11600|DIREITO
11601|ADMINISTRAÇÃO
11602|CIÊNCIAS CONTÁBEIS
11603|HISTÓRIA
11605|PEDAGOGIA
11606|SERVIÇO SOCIAL
11607|FARMÁCIA
11608|FISIOTERAPIA
11609|QUÍMICA INDUSTRIAL
11613|HISTÓRIA
11614|GEOGRAFIA
11615|DIREITO
25789|LETRAS - PORTUGUÊS
30397|LETRAS - INGLÊS
32097|LETRAS - LÍNGUA PORTUGUESA
82602|ENGENHARIA SANITÁRIA E AMBIENTAL
82605|FILOSOFIA
82608|CIÊNCIAS BIOLÓGICAS
82615|INFORMÁTICA
82619|LETRAS
82622|CIÊNCIAS AGRÁRIAS
113953|MATEMÁTICA
113958|LETRAS - PORTUGUÊS
113960|LETRAS - ESPANHOL
113966|CIÊNCIAS EXATAS
113974|LETRAS - INGLÊS
114053|COMPUTAÇÃO
114055|BIOLOGIA
114073|LETRAS - ESPANHOL
114099|PEDAGOGIA
114433|CIÊNCIAS CONTÁBEIS
114756|ADMINISTRAÇÃO
114758|RELAÇÕES INTERNACIONAIS
114760|ARQUIVOLOGIA
114765|AGROECOLOGIA
114971|GEOGRAFIA
114975|ADMINISTRAÇÃO
311593|CIÊNCIAS BIOLÓGICAS
311610|ENFERMAGEM
1178920|ENGENHARIA CIVIL
1178921|ODONTOLOGIA
1182640|MATEMÁTICA
1182641|FÍSICA
1190071|CIÊNCIAS DA COMPUTAÇÃO
1265453|COMPUTAÇÃO
1314244|FÍSICA
1343342|SOCIOLOGIA
1376137|EDUCAÇÃO FÍSICA
1488214|AGRONOMIA
5001295|ADMINISTRAÇÃO PÚBLICA
83130|SISTEMA DE INFORMAÇÃO
93789|PEDAGOGIA
11714|ENGENHARIA CIVIL
11715|ENGENHARIA MECÂNICA
11717|EDUCAÇÃO FÍSICA
11718|FISIOTERAPIA
11719|ENFERMAGEM
11721|ADMINISTRAÇÃO
11722|CIÊNCIAS ECONÔMICAS
11723|CIÊNCIAS CONTÁBEIS
11726|DIREITO
11727|FONOAUDIOLOGIA
11730|CIÊNCIA DA COMPUTAÇÃO
11731|ODONTOLOGIA
18324|ARQUITETURA E URBANISMO
18325|FARMÁCIA
35443|PSICOLOGIA
39387|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
39388|JORNALISMO
39845|COMÉRCIO EXTERIOR
40071|ENGENHARIA DE PRODUÇÃO
40095|ENGENHARIA DE CONTROLE E AUTOMAÇÃO
40413|ENGENHARIA DE TELECOMUNICAÇÕES
41723|ENGENHARIA ELÉTRICA
41729|ENGENHARIA ELETRÔNICA
56630|NUTRIÇÃO
93001|MEDICINA
107686|ENGENHARIA AMBIENTAL E SANITÁRIA
107689|ENGENHARIA DE COMPUTAÇÃO
113088|CINEMA E AUDIOVISUAL
311717|EDUCAÇÃO FÍSICA
1172340|MARKETING
1172342|EVENTOS
1172345|CONSTRUÇÃO DE EDIFÍCIOS
1172346|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1200434|GESTÃO DE RECURSOS HUMANOS
1200670|PROCESSOS GERENCIAIS
1205275|ENERGIAS RENOVÁVEIS
1261765|DESIGN DE MODA
1315325|ESTÉTICA E COSMÉTICA
1357703|MEDICINA VETERINÁRIA
11874|MEDICINA VETERINÁRIA
11878|AGRONOMIA
11879|ADMINISTRAÇÃO
11880|ENGENHARIA CIVIL
11881|ENGENHARIA MECÂNICA
11885|PEDAGOGIA
11888|GEOGRAFIA
11889|HISTÓRIA
11891|ARQUITETURA E URBANISMO
11893|PEDAGOGIA
11897|HISTÓRIA
11912|GEOGRAFIA
11916|FORMAÇÃO DE OFICIAIS (CCSA)
19733|PEDAGOGIA
21611|LETRAS
25793|LETRAS - PORTUGUÊS
32990|LETRAS - INGLÊS
35912|LETRAS - INGLÊS
42842|CIÊNCIAS
42928|CIÊNCIAS
42929|CIÊNCIAS
42930|CIÊNCIAS
53122|CIÊNCIAS
61296|ADMINISTRAÇÃO
62406|ENFERMAGEM
71689|MEDICINA
81294|QUÍMICA
81296|CIÊNCIAS BIOLÓGICAS
81358|FÍSICA
81423|MATEMÁTICA
81640|PEDAGOGIA
81812|MATEMÁTICA
81817|FÍSICA
81821|LETRAS - INGLÊS
81914|AGRONOMIA
81923|ENFERMAGEM
83076|PEDAGOGIA
86360|LETRAS - ESPANHOL
86364|LETRAS - PORTUGUÊS
90697|LETRAS
94520|LETRAS - PORTUGUÊS
94821|PEDAGOGIA
95424|ENFERMAGEM
95462|MÚSICA
103414|QUÍMICA
103477|CIÊNCIAS BIOLÓGICAS
104808|ENFERMAGEM
105052|LETRAS - PORTUGUÊS
105074|ENGENHARIA DA COMPUTAÇÃO
105191|LETRAS
105488|ENGENHARIA DE PESCA
105578|ADMINISTRAÇÃO
105580|CIÊNCIAS SOCIAIS
105610|FORMAÇÃO DE OFICIAIS BOMBEIRO MILITAR
114002|CIÊNCIAS SOCIAIS
120604|CIÊNCIAS BIOLÓGICAS
120944|ZOOTECNIA
121091|ENGENHARIA DE PRODUÇÃO
121376|DIREITO
121378|DIREITO
121411|LETRAS
121698|LETRAS - PORTUGUÊS
121700|LETRAS - PORTUGUÊS
121740|ENFERMAGEM
121745|LETRAS - LÍNGUA PORTUGUESA
121746|LETRAS - PORTUGUÊS
121748|LETRAS - INGLÊS
121749|LETRAS - ESPANHOL
1143719|FILOSOFIA
1143724|PEDAGOGIA
1143730|ADMINISTRAÇÃO PÚBLICA
1145108|ALIMENTOS
1153298|MATEMÁTICA
1213054|ENFERMAGEM
1214058|CIÊNCIAS - MATEMÁTICA
1214444|AGROINDÚSTRIA
1214613|AGRONEGÓCIO
1215490|ADMINISTRAÇÃO
1299196|GEOGRAFIA
1350689|MATEMÁTICA
1350695|ENFERMAGEM
1350703|LETRAS - LÍNGUA PORTUGUESA
1352592|CIÊNCIAS BIOLÓGICAS
1354738|CIÊNCIAS BIOLÓGICAS
1363754|MÚSICA
1382622|SEGURANÇA NO TRABALHO
1382842|LICENCIATURA INTERCULTURAL INDÍGENA
1395694|MATEMÁTICA
1404068|CIÊNCIAS BIOLÓGICAS
1404069|LETRAS
1404083|ENGENHARIA CIVIL
1404084|PEDAGOGIA
