CO_IES|SG_IES|CO_UF
316|UNINOVE|35
22312|NOVE-OSASCO|35
321|FDT|35
1128|UI|31
4722|FIVJ|31
1221||35
330|UNIG|33
1846|UNILINS|35
336|FMS|31
1825|FEAD|31
1139|FEAD - MG|31
1860|FAJANSSEN|31
1923|FAJANSSEN|31
337|CES/JF|31
338|PUC MINAS|31
343|NEWTON PAIVA|31
345|EEK|31
346|ISCA|35
351|FCMMG|31
352|UNIPÊ|25
355|UTP|41
360|UNIPAULISTANA|35
363|FAMOSP|35
1450|UNICERP|31
367|UNIMONTES|31
368|FEFISO|35
3177|FADFESPSP|35
372|FABCI|35
373|ESP|35
2556|UNIFIAM-FAAM|35
374|FMU|35
985|FER|52
3389|RAÍZES|52
3789||52
4113|FACER|52
15173|FEJA|52
384|UNIEVANGÉLICA|52
17680|FESC|52
385|UNIFACS|29
386|UNI-ANHANGÜERA|52
387|UCDB|50
1155|FSST|50
4522|UNISALESIANO|35
1355|FIJ|35
396|UniRuy Wyden|29
1709|UNIT PE|26
398|UNIT|28
22514||26
4530|FITS|27
399|EEA|29
4420|FIBAM|26
402|UNICEUB|53
878|UNILESTE|31
2723|CATÓLICA|26
403|UCB|53
2365|UNICATÓLICA|17
404|UPIS|53
405|FOCCA|26
409|UPE|26
410|FCHE|26
415|FCMSCSP|35
417|UNICID|35
1224|UNIJALES|35
420|UNIMAR|35
423|URI|43
1842|FEMA|43
426|UFN|43
3529|UNIVEM|35
430|UNIFIL|41
431|FAMEMA|35
432|FACCAR|41
434|FASM|35
435|FASM|31
4010|IPA|43
437|UNIPAR|41
439|FAFRAM|35
22175||35
438|FFCL|35
440|FADITU|35
441|UNC|42
4793|FAFIT-FACIC|35
446|UNICRUZ|43
448|UNIRITTER|43
5317|FAPA|43
453|CEULP|17
452|CEULM/ULBRA|13
449|ULBRA|43
1426|ILES|52
451|CEULS|15
454|FACCCA|43
456|UNISANT'ANNA|35
461|FA-FAAP|35
466|UAM|35
2565|UNIABEU|33
1419|UNICURITIBA|41
472|UNIGRANRIO|33
474|FFCLDB|33
473|FCEACDB|33
1081|FER|33
475|FMP|33
1080|FASE|33
1542|UGB|33
480|UNIFESO|33
482|UNESC|42
483|UNIMESP|35
1189|UNIPLAC|42
5242|UNEAL|27
489|UNIFOA|33
490|UNIFAA|33
491|UNIDON|35
494|UNISUL|42
495|FESB|35
496|UNIFRAN|35
1420||35
5215||35
501|EMESCAM|32
502|CSJT|35
4030|UNIFLU|33
506|FMC|33
508|FACESM|31
510||31
3875|UNIFEG|31
513|UNIVALE|31
514|UBM|33
517|FESL|35
518|UDF|53
519|UCSAL|29
521|UMC|35
522|UCL|33
526||35
527|PUC GOIÁS|52
528|PUC-RIO|33
530|FAMES|32
3515|UNIVISA|26
532|UNIJUI|43
533|FII|35
534|EBMSP|29
535|FAFIMAN|41
546|PUCSP|35
161|UNIFAI|35
547|UERJ|33
549|UFAC|12
550|UEPB|25
3966|UNEC|31
555|UNIFOR|23
568|UEMA|21
4016|INES|33
602|ITA|35
605|USCS|35
607|FACCACI|32
606|FDCI|32
608|ESEFIC|35
3514|FACE - ALFOR|31
4219|ISEFOR|31
615|FAFI - PRONAFOR|31
3516|FAC - SAUDE ARTHE|31
3432|FG|35
1043|FHO|35
17224|CESMAC Sertão|27
621|CESMAC|27
17226|CESMAC Agreste|27
622|FAU|33
1497|FASC|35
1070||31
1084||43
2334||33
626|UNICNEC|43
1655|FCSL|31
2084||43
631||43
1530||42
1506||42
627||31
625|FACECAP|35
1231||43
14383|FACEUB|31
1417||41
2184||43
1156||33
5599|LIBERTAS|31
634|UFPEL|43
636|ESPM|35
1327|ESPM - POA|43
944|ESPM|33
637|FESP|35
638|FDMC|31
1201|FAMC|31
640|FAMATH|33
2676||13
12338|FACSALLE|43
641|UNILASALLE|43
